timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post
2020-04-02,7116038,10.8434,11.3537,10.6933,11.2936,0.2401,2.17,5.17,104640923.0,,
2020-04-03,6042391,11.2336,11.2336,10.8584,10.8809,-0.4127,-3.65,4.37,88608487.0,,
2020-04-07,10004378,11.0985,11.7139,11.0985,11.5638,0.6829,6.28,7.26,152581979.0,,
2020-04-08,7423769,11.5488,11.6313,11.3687,11.4137,-0.1501,-1.3,5.42,113486607.0,,
2020-04-09,7720309,11.4887,11.6463,11.4137,11.5338,0.1201,1.05,5.62,118723466.0,,
2020-04-10,8668388,11.5188,11.5188,10.8359,10.8959,-0.6379,-5.53,6.35,128108833.0,,
2020-04-13,4157613,10.7834,10.8584,10.5057,10.5883,-0.3076,-2.82,3.03,58909773.0,,
2020-04-14,3479848,10.6558,10.8434,10.5883,10.8209,0.2326,2.2,2.54,49775062.0,,
2020-04-15,4304873,10.9485,11.0685,10.6333,10.6858,-0.1351,-1.25,3.16,62166481.0,,
2020-04-16,9153016,10.7308,11.4812,10.6108,11.2786,0.5928,5.55,6.58,135184380.0,,
2020-04-17,7731559,11.2636,11.4812,11.0985,11.1135,-0.1651,-1.46,5.66,116221287.0,,
2020-04-20,7897238,11.0985,11.5413,10.9109,11.5413,0.4278,3.85,5.68,119563675.0,,
2020-04-21,10542122,11.3612,12.1416,11.3312,11.9165,0.3752,3.25,7.73,164221533.0,,
2020-04-22,7041970,11.7814,11.984,11.6088,11.8564,-0.0601,-0.5,5.08,110837483.0,,
2020-04-23,7036394,11.879,11.9915,11.5488,11.7064,-0.15,-1.27,5.18,110257593.0,,
2020-04-24,5332822,11.6313,11.8339,11.3387,11.3687,-0.3377,-2.88,3.9,82072373.0,,
2020-04-27,3429510,11.4737,11.5563,11.2636,11.2936,-0.0751,-0.66,2.47,52027853.0,,
2020-04-28,5991462,11.3762,11.3762,10.2356,10.7834,-0.5102,-4.52,4.43,85781237.0,,
2020-04-29,3267746,10.6558,10.8434,10.5582,10.5883,-0.1951,-1.81,2.39,46602720.0,,
2020-04-30,3810552,10.7233,11.1436,10.6333,10.9635,0.3752,3.54,2.79,55548397.0,,
2020-05-06,4695012,10.9109,11.3687,10.8209,11.2636,0.3001,2.74,3.43,69791962.0,,
2020-05-07,3744349,11.3837,11.3837,11.1511,11.1886,-0.075,-0.67,2.76,56175333.0,,
2020-05-08,5464649,11.3687,11.5563,11.3162,11.4362,0.2476,2.21,3.98,83408487.0,,
2020-05-11,4534381,11.5188,11.6763,11.4137,11.5788,0.1426,1.25,3.31,69776555.0,,
2020-05-12,3789807,11.5788,11.6013,11.2786,11.5188,-0.06,-0.52,2.78,57698584.0,,
2020-05-13,3604897,11.2861,11.6388,11.2861,11.5113,-0.0075,-0.07,2.62,55407971.0,,
2020-05-14,5353941,11.4662,11.7664,11.3837,11.4437,-0.0676,-0.59,3.95,82763873.0,,
2020-05-15,11934867,12.2992,12.2992,11.6763,11.7964,0.3527,3.08,8.88,189786163.0,,
2020-05-18,6014726,11.8564,11.8715,11.3912,11.4212,-0.3752,-3.18,4.47,93212847.0,,
2020-05-19,4890040,11.5563,11.7364,11.4437,11.6914,0.2702,2.37,3.53,75854875.0,,
2020-05-20,5573722,11.7064,11.894,11.5038,11.8264,0.135,1.15,4.03,87093527.0,,
2020-05-21,5641691,11.8264,11.984,11.7139,11.894,0.0676,0.57,4.12,89107767.0,,
2020-05-22,5767893,11.8414,11.8414,11.0685,11.3387,-0.5553,-4.67,4.25,87773331.0,,
2020-05-25,3403801,11.3387,11.4662,10.9034,10.9034,-0.4353,-3.84,2.46,50402489.0,,
2020-05-26,3490852,10.9034,11.0985,10.8809,11.0535,0.1501,1.38,2.56,51096510.0,,
2020-05-27,3034565,10.956,11.031,10.7008,10.9935,-0.06,-0.54,2.22,43945654.0,,
2020-05-28,2549052,10.956,11.1135,10.7383,11.106,0.1125,1.02,1.81,37209923.0,,
2020-05-29,2975472,10.9849,11.2264,10.9774,11.0528,-0.0532,-0.48,2.17,43848067.0,,
2020-06-01,4576420,11.0679,11.5055,11.0679,11.4376,0.3848,3.48,3.34,68956115.0,,
2020-06-02,4136495,11.4678,11.6564,11.3546,11.5659,0.1283,1.12,3.03,63331384.0,,
2020-06-03,4307963,11.5659,11.8224,11.4829,11.5734,0.0075,0.06,3.17,66497733.0,,
2020-06-04,3856407,11.6036,11.762,11.4904,11.7017,0.1283,1.11,2.81,59630679.0,,
2020-06-05,3834950,11.6489,11.8224,11.6187,11.7092,0.0075,0.06,2.81,59512506.0,,
2020-06-08,3430650,11.8299,11.8827,11.5131,11.5885,-0.1207,-1.03,2.55,52951389.0,,
2020-06-09,2990234,11.6187,11.7092,11.3999,11.4829,-0.1056,-0.91,2.19,45517058.0,,
2020-06-10,3655052,11.5206,11.5734,11.1283,11.1886,-0.2943,-2.56,2.7,54689561.0,,
2020-06-11,2422553,11.1811,11.3546,11.1434,11.1962,0.0076,0.07,1.77,36097077.0,,
2020-06-12,2417132,11.0,11.2415,10.8793,11.1886,-0.0076,-0.07,1.78,35506828.0,,
2020-06-15,2319558,11.1886,11.3697,11.1132,11.1886,0.0,0.0,1.71,34612058.0,,
2020-06-16,4109098,11.3169,11.4376,11.2037,11.4376,0.249,2.23,2.95,61658588.0,,
2020-06-17,3385500,11.5281,11.5432,11.2415,11.4602,0.0226,0.2,2.43,50982092.0,,
2020-06-18,3135494,11.4074,11.4829,11.2565,11.2943,-0.1659,-1.45,2.27,47185128.0,,
2020-06-19,9782598,11.5357,12.343,11.5357,11.8073,0.513,4.54,7.08,152908554.0,,
2020-06-22,10425717,11.8073,12.2449,11.7017,12.0865,0.2792,2.36,7.68,166325144.0,,
2020-06-23,13282778,11.9808,12.5693,11.845,12.441,0.3545,2.93,9.71,215048623.0,,
2020-06-24,6786219,12.3052,12.4486,12.0865,12.1996,-0.2414,-1.94,4.94,109799004.0,,
2020-07-13,181016,13.4218,13.4218,13.4218,13.4218,1.2222,10.02,0.13,3220274.0,,
2020-07-14,340700,14.7648,14.7648,14.7648,14.7648,1.343,10.01,0.25,6667499.0,,
2020-07-15,23136250,16.2435,16.2435,15.5192,16.2435,1.4787,10.02,17.08,494376717.0,,
2020-07-16,29727237,17.2017,17.8656,17.0885,17.8656,1.6221,9.99,20.87,699488168.0,,
2020-07-17,16819601,17.3526,17.3526,16.0775,16.0775,-1.7881,-10.01,12.46,364977762.0,,
2020-07-20,35241673,15.5268,15.5268,14.4705,14.5913,-1.4862,-9.24,25.92,686984054.0,,
2020-07-21,26624977,14.6139,15.1269,14.2291,15.0666,0.4753,3.26,19.38,516570731.0,,
2020-07-22,24217911,14.5611,15.6928,14.4102,14.9987,-0.0679,-0.45,17.81,481034431.0,,
2020-07-23,18076799,14.5158,14.7421,14.0405,14.5611,-0.4376,-2.92,13.2,345624171.0,,
2020-07-24,15596410,14.795,15.0741,14.1084,14.1461,-0.415,-2.85,11.44,301131189.0,,
2020-07-27,9867780,13.6935,14.0782,13.5124,13.7312,-0.4149,-2.93,7.15,179665964.0,,
2020-07-28,11491388,13.6331,14.3121,13.5954,13.8594,0.1282,0.93,8.46,211832150.0,,
2020-07-29,11822636,13.5124,14.214,13.3615,14.1386,0.2792,2.01,8.61,217917489.0,,
2020-07-30,9942525,14.1235,14.1763,13.6557,13.6935,-0.4451,-3.15,7.27,182943833.0,,
2020-07-31,12660569,13.8066,14.3197,13.7085,14.1386,0.4451,3.25,9.28,236244465.0,,
2020-08-03,15069982,14.3423,14.9232,14.2593,14.8478,0.7092,5.02,11.06,291255094.0,,
